Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;300000;6;0;50;0;3.92
0;300000;6;0;250;0;4.18
0;300000;6;0;750;0;4.03
0;300000;6;0;1500;0;4.21
0;300000;6;0;2500;0;3.75
0;300000;6;0;3500;0;3.69
0;300000;6;1;50;0;4.14
0;300000;6;1;250;0;3.95
0;300000;6;1;750;0;4.1
0;300000;6;1;1500;0;3.74
0;300000;6;1;2500;0;3.8
0;300000;6;1;3500;0;3.99
0;300000;10;0;50;0;4.16
0;300000;10;0;250;0;4.01
0;300000;10;0;750;0;4.03
0;300000;10;0;1500;0;4.28
0;300000;10;0;2500;0;4.02
0;300000;10;0;3500;0;3.84
0;300000;10;1;50;0;4.11
0;300000;10;1;250;0;4.22
0;300000;10;1;750;0;3.94
0;300000;10;1;1500;0;3.77
0;300000;10;1;2500;0;4.08
0;300000;10;1;3500;0;4.01
0;300000;14;0;50;0;3.96
0;300000;14;0;250;0;4.06
0;300000;14;0;750;0;3.98
0;300000;14;0;1500;0;3.91
0;300000;14;0;2500;0;3.91
0;300000;14;0;3500;0;3.81
0;300000;14;1;50;0;4.38
0;300000;14;1;250;0;3.99
0;300000;14;1;750;0;4.14
0;300000;14;1;1500;0;4.08
0;300000;14;1;2500;0;3.98
0;300000;14;1;3500;0;3.79
0;300000;20;0;50;0;3.96
0;300000;20;0;250;0;4.14
0;300000;20;0;750;0;4.31
0;300000;20;0;1500;0;3.95
0;300000;20;0;2500;0;3.82
0;300000;20;0;3500;0;4.02
0;300000;20;1;50;0;4.06
0;300000;20;1;250;0;4.07
0;300000;20;1;750;0;4.09
0;300000;20;1;1500;0;3.88
0;300000;20;1;2500;0;3.93
0;300000;20;1;3500;0;3.72
0;50;3;0;50;1;0.79
0;50;3;0;250;1;128.59
0;50;3;0;750;1;91.56
0;50;3;0;1500;1;65.27
0;50;3;0;2500;1;44.27
0;50;3;0;3500;1;39.08
0;50;3;1;50;1;131.87
0;50;3;1;250;1;122.58
0;50;3;1;750;1;90.4
0;50;3;1;1500;1;68.45
0;50;3;1;2500;1;48.98
0;50;3;1;3500;1;42.14
0;50;6;0;50;1;139.58
0;50;6;0;250;1;117.11
0;50;6;0;750;1;86.3
0;50;6;0;1500;1;64.5
0;50;6;0;2500;1;45.67
0;50;6;0;3500;1;36.75
0;50;6;1;50;1;122.1
0;50;6;1;250;1;122.09
0;50;6;1;750;1;96.05
0;50;6;1;1500;1;68.36
0;50;6;1;2500;1;46.08
0;50;6;1;3500;1;41.53
0;50;10;0;50;1;119.99
0;50;10;0;250;1;124.72
0;50;10;0;750;1;96.66
0;50;10;0;1500;1;68.33
0;50;10;0;2500;1;45.23
0;50;10;0;3500;1;39.71
0;50;10;1;50;1;131.75
0;50;10;1;250;1;121.78
0;50;10;1;750;1;79.75
0;50;10;1;1500;1;63.56
0;50;10;1;2500;1;46.58
0;50;10;1;3500;1;39.95
0;50;14;0;50;1;143.04
0;50;14;0;250;1;130.15
0;50;14;0;750;1;95.06
0;50;14;0;1500;1;63.66
0;50;14;0;2500;1;45.04
0;50;14;0;3500;1;39.31
0;50;14;1;50;1;130.7
0;50;14;1;250;1;123.46
0;50;14;1;750;1;89.74
0;50;14;1;1500;1;63.26
0;50;14;1;2500;1;44.19
0;50;14;1;3500;1;38.9
0;50;20;0;50;1;137.05
0;50;20;0;250;1;130.55
0;50;20;0;750;1;97.15
0;50;20;0;1500;1;65.88
0;50;20;0;2500;1;42.39
0;50;20;0;3500;1;37.67
0;50;20;1;50;1;129.55
0;50;20;1;250;1;130.93
0;50;20;1;750;1;98.3
0;50;20;1;1500;1;66.53
0;50;20;1;2500;1;43.24
0;50;20;1;3500;1;39.7
0;300;3;0;50;1;99.5
0;300;3;0;250;1;131.82
0;300;3;0;750;1;99.12
0;300;3;0;1500;1;68.73
0;300;3;0;2500;1;48.5
0;300;3;0;3500;1;38.72
0;300;3;1;50;1;95.98
0;300;3;1;250;1;95.86
0;300;3;1;750;1;48.81
0;300;3;1;1500;1;64.33
0;300;3;1;2500;1;49.03
0;300;3;1;3500;1;41.45
0;300;6;0;50;1;135.36
0;300;6;0;250;1;123.8
0;300;6;0;750;1;91.43
0;300;6;0;1500;1;65.4
0;300;6;0;2500;1;45.6
0;300;6;0;3500;1;39.78
0;300;6;1;50;1;130.83
0;300;6;1;250;1;123.03
